franchise,season,episode,lang,overview
Raw,5,14,en-US,"""Stone Cold"" Steve Austin and Mankind battle for a chance at Bret Hart's WWE Championship. The WWE Universe gets a look at how dangerous Ken Shamrock really is when he takes on Vernon White in a No Holds Barred Exhibition Match. Plus, an interview with Shawn Michaels, Billy Gunn receives a musical proposition, and much more."
Raw,5,15,en-US,"This edition of Raw features matches from both the United States and South Africa. Ahmed Johnson gets his hands on another member of the Nation of Domination when he takes on Crush. ""Stone Cold"" Steve Austin delivers a word of warning to WWE Champion Bret Hart. Plus, The Headbangers take on Vader & Mankind, Rocky Maivia faces Savio Vega, and more."
Raw,5,16,en-US,"""Stone Cold"" Steve Austin battles Bret Hart in a Street Fight, but The Hart Foundation has a surprise for the Rattlesnake. The Undertaker faces Hunter Hearst Helmsley in the main event. Plus, Ahmed Johnson battles The Sultan, Ken Shamrock makes an unusual challenge, and more."
Raw,5,17,en-US,"Brian Pillman reveals a more spiritual side of himself when he sides with The Hart Foundation. The British Bulldog faces WWE Champion The Undertaker. An injured Bret Hart resolves to get even with ""Stone Cold"" Steve Austin. Vader goes one-on-one with Jesse James. Plus, Hunter Hearst Helmsley, Rocky Maivia, and more in action."
Raw,5,18,en-US,"The Hart Foundation's anti-American crusade continues as they set their sights on Shawn Michaels. The British Bulldog goes one-on-one with ""Stone Cold"" Steve Austin in the main event. Plus, Vader takes on Goldust, Crush runs the Gauntlet, and much more action."
Raw,5,19,en-US,"Bret Hart call outs Shawn Michaels. Weeks after being burned by The Undertaker, Paul Bearer returns with Mankind to deliver a grave warning to the Deadman. Plus, ""Stone Cold"" Steve Austin comes to the aid of an unlikely superstar, Rob Van Dam is deemed ""Mr. Monday Night"", and much more."
Raw,5,20,en-US,"Hart Foundation members Owen Hart & the British Bulldog offer ""Stone Cold"" Steve Austin & Shawn Michaels a chance at the Tag Team Championship next week. WWE Champion The Undertaker warns Paul Bearer that some secrets must stay buried. Plus, Bret Hart makes a shocking announcement, Jim Ross conducts a special interview with Mankind, and much more."
Raw,5,21,en-US,"After weeks of threats, Paul Bearer looks to bring The Undertaker to his knees when he prepares to reveal a secret from the Deadman's past. Despite their recent issues, Shawn Michaels & ""Stone Cold"" Steve Austin must find a way to coexist as they challenge Owen Hart & the British Bulldog for the Tag Team Championship. All this and more."
Raw,5,22,en-US,"With The Undertaker reluctantly aligned with Paul Bearer, Sycho Sid challenges him for his WWE Championship. The rivalry between Shawn Michaels and ""Stone Cold"" Steve Austin gets interesting after Bret Hart is forced to withdraw from his upcoming match with Michaels. Plus, King of the Ring Tournament matches and Jim Ross' interview with Mankind."
Raw,5,23,en-US,"After being crowned the 1997 King of the Ring, Hunter Hearst Helmsley looks to begin his ascension to the top of WWE. ""Stone Cold"" Steve Austin's faces The Hart Foundation's Brian Pillman. Faarooq promises to reform his Nation of Domination. Plus, ECW returns to confront Jerry ""The King"" Lawler and Rob Van Dam, Goldust in action, and more."
Raw,5,24,en-US,"Ahmed Johnson reveals his allegiance when he teams with The Undertaker to face Faarooq & Kama Mustafa. With the members of The Hart Foundation handcuffed at ringside, ""Stone Cold"" Steve Austin finally gets his hands on Brian Pillman. Plus, a No. 1 Contender's Tournament for the Tag Team Championship kicks off, Mankind seeks a new friend, and more."
Raw,5,25,en-US,"The Undertaker's temper gets the better of him when Paul Bearer forces the Deadman to team with Vader against two members of the Nation of Domination. Mankind dedicates his match against the British Bulldog to ""Stone Cold"" Steve Austin. Plus, Owen Hart defends his Intercontinental Championship against Hunter Hearst Helmsley and Goldust and more."
Raw,5,26,en-US,"Paul Bearer reveals a dark secret about the Unertaker's childhood. ""Stone Cold"" Steve Austin battles The Hart Foundation's Jim ""The Anvil"" Neidhart. The war between the Nation of Domination and the Disciples of Apocalypse escalates when Savio Vega returns with some friends of his own. Plus, Mankind faces Brian Pillman, Ken Shamrock, and more."
Raw,5,27,en-US,"The Hart Foundation receives another warm reception in Canada. After weeks of trying to be ""Stone Cold"" Steve Austin's partner, Mankind is treated to a stunning lesson courtesy of the Rattlesnake. Plus, Bret Hart takes on Goldust, the Tag Team Tournament comes to an end as D-Lo Brown & Faarooq take on the British Bulldog & Owen Hart, and more."
Raw,5,28,en-US,"The Hart Foundation's Owen Hart & British Bulldog challenge ""Stone Cold"" Steve Austin for the Tag Team Championship in the main event. After weeks of absence, Shawn Michaels returns to share his thoughts on Bret Hart's special SummerSlam stipulation. Plus, Ken Shamrock, Taka Michinoku, and many more in action."
Raw,5,29,en-US,"In The Hart Foundation's homeland of Canada, the Canadian heroes face The Undertaker, ""Stone Cold"" Steve Austin, and Dude Love in a Flag Match. Tensions between Shawn Michaels makes a controversial announcement regarding his role in the WWE Championship Match at SummerSlam. Plus, Ken Shamrock takes on Vader, Faarooq battles Goldust, and much more."
Raw,5,30,en-US,"Bret Hart goes one-on-one with The Patriot. The British Bulldog looks to give Ken Shamrock a taste of defeat in an Arm Wrestling Match. Plus, ""Stone Cold"" Steve Austin & Dude Love defend their Tag Team Championship against The Godwinns, Faarooq takes on Crush, and much more."
Raw,5,31,en-US,"A new Commissioner is appointed to teach a lesson in respect to The Hart Foundation. Shawn Michaels embraces a new attitude while earning a new enemy. With ""Stone Cold"" Steve Austin suffering a career-threatening injury at the hands of Owen Hart, the Rattlesnake sets his sights on payback. Plus, the Nation of Domination, Ken Shamrock, and more."
Raw,5,32,en-US,"Shawn Michaels promises to reveal his special insurance policy when he returns to action against Mankind. Vince McMahon interviews Dude Love. The Nation of Domination welcomes its newest member. Tensions boil between Bret Hart, and The Patriot. The Legion of Doom takes on Henry and Phinneas Godwinn in a Country Whipping Match and more."
Raw,5,33,en-US,"One of the most infamous factions in WWE history is formed as Shawn Michaels teams with Hunter Hearst Helmsley against The Undertaker & Mankind. ""Stone Cold"" Steve Austin gives an update on his condition and in-ring future. Plus, Rocky Maivia shares some insight into his recent business decision, Rick Rude explains his presence in WWE, and more."
Raw,5,34,en-US,"The showdown unfolds as Vader takes on Bret Hart, and the clash continues with Dude Love facing off against Rockabilly."
Raw,5,35,en-US,The Patriot takes on Owen Hart. Dude Love wrestles the British Bulldog. Hunter Hearst Helmsley clashes with The Undertaker.
Raw,5,36,en-US,"Commissioner Slaughter learns an injured Rattlesnake's strike is the most vicious when he suspends ""Stone Cold"" Steve Austin. The Undertaker warns Shawn Michaels their rivalry will not rest in peace. Plus, WWE Champion Bret Hart takes on Vader in a No Disqualification Match and a Tournament for the vacant Intercontinental Championship kicks off."
Raw,5,37,en-US,"WWE Champion Bret Hart and European Champion the British Bulldog challenge The Headbangers for the Tag Team Championship. Jerry Lawler receives some stunning news when he conducts a special in-ring interview with ""Stone Cold"" Steve Austin. Plus, the Intercontinental Championship Tournament continues, Dude Love faces Brian Pillman, and more."
Raw,5,38,en-US,"From Madison Square Garden, ""Stone Cold"" Steve Austin ignites the most storied rivalry in WWE history with a single Stunner. The Intercontinental Championship Tournament continues when Ahmed Johnson takes on Rocky Maivia. Tensions continue to build between The Undertaker and Shawn Michaels and much more."
Raw,5,39,en-US,"Shawn Michaels and his pals disrupt order in WWE, but Commissioner Slaughter gets the last laugh as he forces Hunter Hearst Helmsley to battle the Undertaker. As Mr. McMahon considers disciplining ""Stone Cold"" Steve Austin, the Rattlesnake offers the owner of WWE a choice. Plus, Vader, The Headbangers, and many more in action."
Raw,5,40,en-US,"WWE mourns the untimely passing of Flyin' Brian Pillman. The Hart Foundation come face-to-face with Shawn Michaels and his band of degenerates as Bret Hart faces Hunter Hearst Helmsley in the main event. Plus, Paul Bearer introduces Kane to the world, ""Stone Cold"" Steve Austin negotiates his in-ring future, and more."
Raw,5,41,en-US,"One of the most controversial groups in WWE history is born as Shawn Michaels and his allies form D-Genenration X to target The Hart Foundation. ""Stone Cold"" Steve Austin's future is decided as he signs the contract for his return to action. The Legion of Doom battles The Godwinns for the Tag Team Championship and more."
Raw,5,42,en-US,"DX looks to cause dissension in The Hart Foundation. The Undertaker insists that he will never fight his brother Kane. Following a lackluster run in WCW, Jeff Jarrett returns and speaks his mind. Plus, Shawn Michaels faces Owen Hart, ""Stone Cold"" Steve Austin raises hell, and more."
Raw,5,43,en-US,"Shawn Michaels pushes the envelope even when he decides to show the WWE Universe another side of himself. ""Stone Cold"" Steve Austin stops at nothing to protect his Survivor Series opportunity when Ahmed Johnson challenges Owen Hart for the Intercontinental Championship. Plus, Bret Hart defends the WWE Championship against Ken Shamrock and more."
Raw,5,44,en-US,"Shawn Michaels goes one-on-one with Ken Shamrock in the main event. Ahmed Johnson finds himself in the middle of Kane's path of destruction when he looks for payback on ""Stone Cold"" Steve Austin. Plus, Goldust ends his relationship with Marlena, Vader battles the British Bulldog in a Dog Collar Match, and much more."
Raw,5,45,en-US,"Following one of the most controversial matches in sports-entertainment, there is a new WWE Champion in Shawn Michaels. The Rock issues a challenge to ""Stone Cold"" Steve Austin for his Intercontinental Championship. Plus, Hunter Hearst Helmsley takes on Ken Shamrock, Kane and Paul Bearer confront The Undertaker, and more."
Raw,5,46,en-US,"Mr. McMahon sits down with Jim Ross to share his side of what happened with Bret Hart at Survivor Series. Hunter Hearst Helmsley shows Commissioner Slaughter how much DX respects his authority. The Rock looks to take the Intercontinental Championship from ""Stone Cold"" Steve Austin by any means necessary. Plus, Kane, Dude Love, and more."
Raw,5,47,en-US,"After DX's reenactment of Survivor Series comes up short, WWE Champion Shawn Michaels makes a special offer to Jim ""The Anvil"" Neidhart. The New Age Outlaws challenge the Legion of Doom for the Tag Team Championship. Plus, Kane continues to wreak havoc in WWE, Goldust reveals his new love interest, and more."
Raw,5,48,en-US,"Jim ""The Anvil"" Neidhart takes on Triple H. While the New Age Outlaws begin their reign as Tag Team Champions, the Legion of Doom goes on a hunt for vengeance. ""Stone Cold"" Steve Austin gets the best seat in the house when The Rock faces Vader. Plus, Ken Shamrock sends WWE Champion Shawn Michaels a message, Goldust and Luna appear, and more."
Raw,5,49,en-US,"""Stone Cold"" Steve Austin reveals his championship aspirations. With most of their enemies gone from WWE, Degeneration-X turn their attention to the sole survivor of The Hart Foundation, Owen Hart. Plus, Sable proves what she is willing to bare for husband, Kane's trail of carnage continues, and more."
Raw,5,50,en-US,"""Stone Cold"" Steve Austin shows The Rock what the Intercontinental Championship means to him. When DX takes on the Legion of Doom in the main event, the New Age Outlaws decide to pay special tribute to one of the greatest tag teams in WWE history. Plus, Taka Michinoku takes on Jerry ""The King"" Lawler, Mark Henry makes his Raw debut, and much more."
Raw,5,51,en-US,"When DX gives the WWE Universe a special Christmas present, Commissioner Slaughter gives the duo a gift of his own by ordering Shawn Michaels to defend his European Championship against Triple H in the main event. Plus, the New Age Outlaws search for Mankind, Ken Shamrock battles D'lo Brown, and more."
Raw,5,52,en-US,"""Stone Cold"" Steve Austin faces The Artist Formerly Known as Goldust. With Triple H out of action due to a knee injury, Commissioner Slaughter orders Shawn Michaels to take his place in the main event against Owen Hart and puts HBK's WWE Championship on the line. Plus, one of Mick Foley's alter egos is reunited with an old friend and more."
Raw,6,1,en-US,"When WWE Champion Shawn Michaels calls out The Undertaker before their upcoming Casket Match, the Heartbreak Kid may have to pay for his sins a little early. Fed up with the recent events in WWE, Jim Cornette goes on a crusade to reintroduce a more traditional style of wrestling. Plus, Ken Shamrock, Flash Funk, and many more."
Raw,6,2,en-US,"""Stone Cold"" Steve Austin target every participant in the 1998 Royal Rumble Match. While DX looks to settle a score with The Undertaker, Kane shows The Phenom that blood may be thicker than water. Mark Henry reveals his allegiance when he and Ken Shamrock take on members of the Nation of Domination. Plus, Vader battles Marc Mero, and much more."
Raw,6,3,en-US,"Boxing Legend Mike Tyson is announced as the guest enforcer for the ""Stone Cold"" Steve Austin vs. Shawn Michaels match at WrestleMania. Paul Bearer reveals his plans for Kane in the war against Undertaker. The Disciples of Apocalypse face the Nation of Domination. Cactus Jack & Chainsaw Charlie battle The Quebecers. Plus, The Rock, DX, and more."
Raw,6,4,en-US,"After ""Stone Cold"" Steve Austin and Mike Tyson's recent altercation, things continue to escalate when the Rattlesnake issues a challenge to the boxing legend. As Owen Hart faces Triple H for the European Championship in the main event. The New Age Outlaws take on Cactus Jack & Chainsaw Charlie. Plus, Ken Shamrock, the Legion of Doom, and more."
Raw,6,5,en-US,"As DX campaigns to let Mike Tyson and ""Stone Cold"" Steve Austin fight at WrestleMania, The Rattlesnake lets Shawn Michaels know that he is coming for his WWE Championship. The New Age Outlaws' rivalry with Cactus Jack & Chainsaw Charlie takes a dangerous turn. Plus, dissension brews in the Nation of Domination, Vader targets Kane, and more."
Raw,6,6,en-US,"The battle lines between ""Stone Cold"" Steve Austin's unlikely allies and Shawn Michaels' gang of degenerates are drawn. Ken Shamrock's issues with the Nation of Domination continue when he teams with Chainz to battle Faarooq & The Rock. Plus, Kane shows the WWE Universe that Vader's time may be up, Sable gets her hands on Luna, and much more."
Raw,6,7,en-US,"On this special Saturday edition of Raw, The Artist Formerly Known as Goldust & Marc Mero take on Cactus Jack & Chainsaw Charlie. ""Stone Cold"" Steve Austin delivers a message to Mike Tyson Shawn Michaels. The Rock shows each of his fellow Nation of Domination members what he thinks of them with some special gifts. Plus, Ken Shamrock and more."
Raw,6,8,en-US,"From safe within the home of Shawn Michaels, the members of DX deliver a message to their adversaries and proclaim that WrestleMania XIV will be X-rated. Faarooq reinforces his leadership in the Nation of Domination when The Rock faces Steve Blackman. The rivalry between Luna and Sable escalates after The Artist Formerly Known as Goldust and Marc Mero get involved. Plus, Kane issues a challenge to Stone Cold Steve Austin, a rift builds between the Legion of Doom, and much more!"
Raw,6,9,en-US,"Mike Tyson and DX shock the world. Kane faces ""Stone Cold"" Steve Austin in the main event. Plus, Taka Michinoku teams with The Headbangers to take on Barry Windham & The Rock 'n' Roll Express, Commissioner Slaughter turns the tables on the New Age Outlaws, and much more."
Raw,6,10,en-US,"With Mike Tyson now the newest member of DX, ""Stone Cold"" Steve Austin vows to take the show hostage until he comes face to face with Mr. McMahon. The Undertaker plays mind games with Kane and Paul Bearer. Plus, The Rock and Faarooq take on Ken Shamrock & Steve Blackman, Luna gives Sable a makeover she will never forget, and much more."
Raw,6,11,en-US,"Mr. McMahon lets the WWE Universe know exactly what he thinks of ""Stone Cold"" Steve Austin possibly becoming the WWE Champion. Billy Gunn takes on Chainsaw Charlie while Road Dogg Jesse James gets a message from Cactus Jack. Plus, The Undertaker gives Kane a preview of his future, Triple H looks to reclaim the European Championship, and more."
Raw,6,12,en-US,"WWE Champion Shawn Michaels delivers a final message to ""Stone Cold"" Steve Austin before they meet at WrestleMania. Kane turns up the heat in his rivalry with The Undertaker. As Sable is honored with a special award, Luna looks to crash the party. Plus, the New Age Outlaws turn the tables on Cactus Jack and Chainsaw Charlie and more."
Raw,6,13,en-US,"The Austin Era has officially begun as ""Stone Cold"" shows Mr. McMahon exactly what kind of WWE Champion he will be. Triple H assumes the leadership of DX and introduces some new members. Plus, things finally come to a head between Faarooq and The Rock over leading The Nation of Domination, Kane has a challenge for The Undertaker, and more."
Raw,6,14,en-US,"Mr. McMahon learns that rattlesnakes don't make good pets when he vows to show the WWE Universe a new and improved Stone Cold Steve Austin. DX takes on the Disciples of Apocalypse in the main event. Plus, The Undertaker makes his first appearance since WrestleMania, Ken Shamrock battles D'lo Brown, and much more."
Raw,6,15,en-US,"WWE Champion ""Stone Cold"" Steve Austin battles Mr. McMahon for the first time ever in a groundbreaking main event. The Undertaker tries to settle the score with Kane. Faarooq looks for some revenge on The Rock. Double J takes on Taka Michinoku, and a man with a lot of love returns to WWE, and much more."
Raw,6,16,en-US,"""Stone Cold"" Steve Austin looks for payback on Dude Love. As The Undertaker looks to settle the score with Kane, Kane and Paul Bearer make a grave decision. Faarooq takes his rivalry with The Nation to the street as he takes on Kama. Plus, DX in Six-Man Tag Team action, Dan ""The Beast"" Severn, and more."
Raw,6,17,en-US,"""Stone Cold"" Steve Austin defends his WWE Championship against a bizarre opponent. WWE cameras go to the front lines as DX takes the war to WCW in an unprecedented fashion. In an effort to stop the carnage between The Undertaker and Kane, Paul Bearer makes a shocking revelation. Sable challenges Marc Mero, The Nation gets a new member, and more."
Raw,6,18,en-US,"Mr. McMahon gives Dude Love another opportunity to become the No. 1 Contender for the WWE Championship. D-Generation X find themselves at odds with other factions. The rivalry between Kane and the Undertaker escalates after Paul Bearer speaks a little too freely. Plus, Goldust, Steve Blackman, The Nation, and more in action."
Raw,6,19,en-US,"Mr. McMahon stuns the WWE Universe by making ""Stone Cold"" Steve Austin team with an unlikely partner. As DX continues their crusade against WCW, WWE cameras take a special look at the group's trip down south. The Undertaker looks to punish Jerry ""The King"" Lawler for his indiscretions about the Phenom's family. Plus, The Nation, Sable, and more."
Raw,6,20,en-US,"""Stone Cold"" Steve Austin faces Pat Patterson & Gerald Brisco in a Street Fight. As Dude Love must reckon with Dustin Runnels. The New Age Outlaws defend the Tag Championship against The Rock & Owen Hart. Paul Bearer vows to prove that he's Kane's father, Val Venis makes his in-ring debut, and much more."
Raw,6,21,en-US,"Mr. McMahon learns that even he isn't above the law when ""Stone Cold"" Steve Austin teaches him a lesson in hard time, but the boss may have the last laugh when The Rattlesnake must take on The Undertaker in the main event. As DX launches their final assault on WCW, European Champion Triple H battles Intercontinental Champion The Rock. Plus, The Jackyl introduces a group of misfits, Al Snow continues his search for a job in WWE, and more."
Raw,6,22,en-US,"Following his loss to Stone Cold Steve Austin at Over The Edge, Dude Love looks to leave the WWE for the good of mankind. The Undertaker makes his intentions for the WWE Championship known. The Nation and DX's face off in a Six-Man Tag Team Match. Plus, Qualifying Matches for the King of the Ring, Marc Mero introduces Sable's replacement, and more."
Raw,6,23,en-US,"""Stone Cold"" Steve Austin crashes a special ceremony for Mr. McMahon. As DX visits to New York City, the New Age Outlaws defend the WWE Tag Team Championships against L.O.D. 2000 and the Disciples of Apocalypse. King of the Ring Qualifying Matches continue. Plus, Ken Shamrock, Val Venis, Al Snow, and many more."
Raw,6,24,en-US,"""Stone Cold"" Steve Austin confronts Undertaker about his recent assault at the hands of Kane and Mankind. The ominous Hell in a Cell makes its Raw debut. X-Pac makes his long awaited in-ring return against fellow DX member Triple H in a King of the Ring Qualifying Match. Plus, Sable returns, Al Snow, Val Venis, and more in action."
Raw,6,25,en-US,"As Mr. McMahon makes the stipulation that ""Stone Cold"" Steve Austin's WWE Title defense at King of the Ring will be a First Blood Match, Kane speaks for the first time. While Paul Bearer witnesses these events unfold from home, The Undertaker pays him a visit. Plus, X-Pac gets some revenge on The Nation, Edge makes his in-ring debut, and more."
Raw,6,26,en-US,"Mr. McMahon crowns Kane with the WWE Championship. However, before the new champion can get used to wearing the gold, ""Stone Cold"" Steve Austin challenges him to a rematch in the main event. The Brawl for All Tournament begins, Ken Shamrock competes in a Triple Threat Match, and much more."
Raw,6,27,en-US,"The Undertaker, Kane, and Mankind compete in a No. 1 Contender's Match for the WWE Championship. DX takes their problems with The Nation to another level when they impersonate their rivals. The 1998 King of the Ring winner Ken Shamrock receives a royal welcome. Plus, Sable issues a challenge to Jacqueline, the Brawl for All continues, and more."
Raw,6,28,en-US,"The New Age Outlaws challenge Kane & Mankind for the Tag Team Championship with special referees Undertaker and WWE Champion ""Stone Cold"" Steve Austin. The Nation takes violent exception to DX's recent portrayal of them. Plus, Shawn Michaels appears, Val Venis offers an apology to Mr. Yamaguchi-San with a look at his newest video, and more."
Raw,6,29,en-US,"Mr. McMahon demands to know if The Undertaker has an alliance with Kane. WWE Champion ""Stone Cold"" Steve Austin faces Mankind & Kane in a Handicap Match. Triple H defends his European Title against D'lo Brown. Plus, Mr. Yamaguchi-San punishes his wife for her affair with Val Venis and X-Pac challenges The Rock for his Intercontinental Championship."
Raw,6,30,en-US,"The Undertaker & ""Stone Cold"" Steve Austin defend the Tag Team Championship against the New Age Outlaws. The Rock defends the Intercontinental Champion against Triple H and X-Pac. As punishment for his transgressions, Mr. Yamaguchi-San vows revenge on Val Venis. Plus, exclusive ""Extra Attitude"" footage after Raw went off the air!"
Raw,6,31,en-US,"""Stone Cold"" Steve Austin and The Undertaker defend the Tag Team Championship against The Rock & Owen Hart. A rift in DX begins to form when X-Pac and Triple H go one-on-one for a chance at the Intercontinental Championship. Mr. Yamaguchi-San and Kaentai seek revenge on Val Venis. Plus, the New Age Outlaws in action and the Brawl for All rolls on."
Raw,6,32,en-US,"The Undertaker and ""Stone Cold"" Steve Austin defend the Tag Team Championship in a Four Corners Tag Team Match. The recent problems within DX come to a head. Val Venis reveals the results of his recent punishment."
Raw,6,33,en-US,"WWE Champion ""Stone Cold"" Steve Austin vows to get his hands on The Undertaker. The rivalry between DX and The Nation takes a violent turn as both groups face off in a Street Fight. Mrs. Yamaguchi-San looks to get even with Val Venis. Plus, Gangrel makes his Raw debut, Sable takes on Jacqueline in an Arm Wrestling Match, and more."
Raw,6,34,en-US,"The Undertaker reveals an ally that spells trouble for WWE Champion ""Stone Cold"" Steve Austin. The rivalry between DX and The Nation reaches the boiling point. The Hell in a Cell makes its return to Raw as Mankind confronts an old friend. Also, Jeff Jarrett plays a special tune for X-Pac, the Brawl for All Finals, and more."
Raw,6,35,en-US,"On a special Raw Saturday Night, Mr. McMahon vows to end ""Stone Cold"" Steve Austin's reign as WWE Champion by announcing a master plan. The Rock tries to salvage the remains of his Nation by teaming with Mark Henry to take on the New Age Outlaws, X-Pac challenges D-Lo Brown for his European Championship. Plus, Ken Shamrock, Val Venis, and more."
Raw,6,36,en-US,"On a special Raw Saturday Night, DX takes on Kaentai in an Eight Man Tag Team Match. The Rock promises he will always be the People's Champion and vows to get some payback on Kane. The Insane Clown Posse may get more than they bargained for when The Oddities take on the Disciples of Apocalypse. Plus, Al Snow confronts WWE Officials and more."
Raw,6,37,en-US,"Mr. McMahon reveals his master plan to end ""Stone Cold"" Steve Austin's reign as WWE Champion, however Ken Shamrock may take care of things a little early when he challenges the Rattlesnake for his title. Dustin Runnels' religious crusade hits a road block when Val Venis gives a preview of his latest video. Plus, Mankind, Triple H, and more."
Raw,6,38,en-US,"To ensure that Ken Shamrock, Mankind, and The Rock don't team up with ""Stone Cold"" Steve Austin against The Undertaker and Kane, Mr. McMahon places all three men in a Triple Threat Match to determine the No. 1 Contender for the WWE Championship. The Women's Championship is reintroduced as Sable and Jacqueline face off to bring home the gold."
Raw,6,39,en-US,"The fire is burning inside of Vince McMahon with his sights set on Stone Cold Steve Austin, however, Austin plans to extinguish that fire with the use of a Zamboni. The Rock, Mankind & Ken Shamrock join forces to battle the Brothers of Destruction. Val Venis takes on X-Pac. Mark Henry clashes with Faarooq. Plus, The New Age Outlaws and much more."
Raw,6,40,en-US,"While Mr. McMahon recuperates from his injuries in the hospital, Mankind surprises him with some special visitors to cheer him up. But as the boss demands to be left alone, another visitor shows up with a surprise of his own. The Rock goes one-on-one with The Undertaker. Plus, X-Pac defends his European Championship against D-Lo Brown and more."
Raw,6,41,en-US,"""Stone Cold"" Steve Austin has his sights set on Mr. McMahon and his luxury corvette. The New Age Outlaws defend the WWE Tag Team Championship against LOD 2000. Ken Shamrock faces Steve Blackman. Marc Mero battles Val Venis. Mankind takes on Mark Henry. ""Stone Cold"" Steve Austin teams with The Rock to battle the Brothers of Destruction and more."
Raw,6,42,en-US,"While celebrate firing ""Stone Cold"" Steve Austin, Mr. McMahon becomes the hunted as the Rattlesnake looks to strike back at his former employer. Kane looks to finally lay The Undertaker to rest in a Casket Match. Also in action, Ken Shamrock battles X-Pac, The Rock takes on D-Lo Brown, and much, much more."
Raw,6,43,en-US,"Following ""Stone Cold"" Steve Austin's reinstatement, Mr. McMahon is stunned to realize his rivalry with Austin has become a family matter. However, Ken Shamrock looks to force The Rattlesnake back out of the company when they meet in an ""I Quit"" Match. Plus, the New Age Outlaws defend the Tag Team Championship against Al Snow & Mankind and more."
Raw,6,44,en-US,"No one is safe as Mr. McMahon goes on a rampage to show everyone that he is still the boss. With every superstar at the mercy of his wrath, the Chairman turns to the Big Boss Man to teach some old friends a lesson in loyalty. The Rock learns that his actions could earn him some capital punishment. Also in action, DX, Val Venis, and many more."
Raw,6,45,en-US,"""Stone Cold"" Steve Austin looks to get his hands on the Big Boss Man. The Rock takes on Mark Henry in the main event. When Kane tries to bring the heat in his rivalry with The Undertaker, it is X-Pac who ends up getting burned. Plus, Mankind receives a corporate makeover, Ken Shamrock goes after the Hardcore Championship, and much more action."
Raw,6,46,en-US,"Mr. McMahon welcomes The Rock as the new WWE Champion. But before the celebration can get under way, ""Stone Cold"" Steve Austin reveals a clause in his contract that forces The Corporate Champion to defend his newly won title against the Rattlesnake in the main event. DX takes on The Oddities, Ken Shamrock challenges the Big Boss Man, and much more."
Raw,6,47,en-US,"Mr. McMahon shocks the world by making Shawn Michaels WWE Commissioner, however, The Heartbreak Kid's loyalties are called into question as he forces The Rock to defend his WWE Championship against X-Pac. ""Stone Cold"" Steve Austin recuperates in the hospital from his assault at the hands of The Undertaker and he receives a pair of deadly visitors."
Raw,6,48,en-US,"As ""Stone Cold"" Steve Austin looks for payback on The Undertaker and Paul Bearer, the he finds an unlikely ally. When X-Pac calls out Commissioner Shawn Michaels for siding with The Corporation, The Heartbreak Kid forces his former friend to defend his European Championship against Ken Shamrock. Plus, Mankind, The Rock, Al Snow, and more in action."
Raw,6,49,en-US,"""Stone Cold"" Steve Austin must walk through the valley of darkness as The Undertaker prepares to make the ultimate sacrifice to his ministry. Commissioner Shawn Michaels looks to turn the tables on his old friends in DX as he unveils the newest and most unlikely additions to The Corporation. Plus, WWE Champion The Rock, Triple H, Mankind, and more."
Raw,6,50,en-US,"After DX provides a unique perspective of their Corporate rivals with another hilarious impersonation, The Rock puts Triple H to the test by offering him an opportunity at his WWE Championship. Mr. McMahon delivers some stunning announcements. Plus, the New Age Outlaws battle the Big Boss Man & Ken Shamrock, Kane and Mankind face off, and more."
Raw,6,51,en-US,"As Triple H & X-Pac are set to take on Test & The Rock in the main event, the New Age Outlaws are put in singles competition against the Big Boss Man & Ken Shamrock. Plus, Shane McMahon is in a giving mood, but he may go too far when he challenges Mankind to a match. Mark Henry, The Brood, Al Snow, and more are in action."
Raw,6,52,en-US,"The Corporation looks for revenge on DX by placing them in some brutal matches including forcing Road Dogg to defend his Hardcore Championship against Mankind. The WWE Universe gets a look at Mr. McMahon's Royal Rumble training as the boss fires Shawn Michaels as Commissioner. Also, Luna targets Sable, The Acolytes kidnap Dennis Knight, and more."
Raw,7,1,en-US,"Mankind cements his legacy in WWE history as he battles The Rock for the WWE Championship. Commissioner Shawn Michaels turns the tables on Mr. McMahon and The Corporation with the help of some old friends, but soon learns what goes around comes around. Plus, Ken Shamrock faces Steve Blackman and Chyna has a special friend for Mark Henry."
Raw,7,2,en-US,"While Mankind celebrates capturing the WWE Championship, The Corporation looks to punish the new champion and his degenerate allies in the first Corporate Royal Rumble Match. But with ""Stone Cold"" Steve Austin on the loose, Mr. McMahon's plans are targeted for disruption. Plus, the Ministry of Darkness makes a sacrifice and more."
Raw,7,3,en-US,"""Stone Cold"" Steve Austin delivers a warning to Mr. McMahon. While the Big Boss Man looks to soften up Mankind before his ""I Quit"" Match with The Rock, The Corporate Champion decides to show Kane his place. Plus, the WWE Universe learns an embarrassing fact about Mark Henry's love life, The Undertaker foresees his next sacrifice, and more!"
Raw,7,4,en-US,"Mr. McMahon receives some heartbreaking news from ""Stone Cold"" Steve Austin. After winning the WWE Championship in an ""I Quit"" Match, The Rock's victory is called into question when Mankind makes a shocking revelation. The Corporate Champion must turn his sights to Triple H as they face off for the gold. The Blue Meanie imitates Goldust and more."
Raw,7,5,en-US,"In an effort to save himself from his upcoming confrontation with ""Stone Cold"" Steve Austin, Mr. McMahon travels to Texas. Shane McMahon takes charge of Raw and receives a warm welcome from X-Pac. The Undertaker's Ministry of Darkness targets new members. Plus, Triple H faces Kane in a steel cage, Goldust gets payback on the Blue Meanie, and more."
