token,freq,df,sample,weight
daughter,123,118,"Georgia Miller arrives in the quaint New England town of Wellsbury with her daughter, Ginny, and her son, Austin, and quickly makes a big im",0
lost,122,122,"While looking for the cause of Mai's Adolescence Syndrome, Sakuta ends up scheduling a date with Mai. On the day they promised, Sakuta tries",0
days,122,121,"Sakuta from the other possible realm sends a message through Ikumi that reads, “Find Touko Kirishima, Mai-san is in danger.” After seeing th",0
named,122,120,"Sakuta dreams that on Christmas Eve, when he is meant to have a sleepover date with Mai, he instead goes on a date with a student named Sara",0
competition,122,117,"Playgroup is having a pet competition and everyone has brought their pets. Dr Hamster is the judge, but it is so hard to choose the best pet",0
cell,122,102,"""Stone Cold"" Steve Austin confronts Undertaker about his recent assault at the hands of Kane and Mankind. The ominous Hell in a Cell makes i",0
wade,122,120,"Twenty-four hours earlier, at Night of Champions, several WWE Superstars were in heaven when they earned new championships. During Raw, howe",0
powerful,122,120,"After crashing Rusev and Lana’s post-wedding “celebration” with the WWE Universe on Raw, Roman Reigns targeted the United States Champion on",0
lucifer,122,85,"Upon leaving hell, Lucifer Morningstar retreats to Los Angeles for a more exciting life. When the murder of a friend connects him with LAPD ",0
enough,121,117,Ready. Set. Compete! CatRat takes center stage and hosts a series of dazzling dollhouse games. Will the crew win enough tickets to take home,0
recent,121,119,"Bob Backlund answers for his recent attack on Bret Hart. Plus, Lex Luger, The Heavenly Bodies, Yokozuna, and more in action on this episode.",0
four,121,117,"Before Shawn Michaels can celebrate his reign as the new WWE Champion, The Heartbreak Kid is greeted by the four men who are hell-bent on ta",0
apartment,121,106,"When Jake's building goes co-op and he must pay nearly a half million dollars to keep his apartment, he desperately seeks Gina's help.",0
farmer,121,105,"On the morning of the mock trial, Kyle's behavior worries everyone. Meanwhile, Dana Sue sparks a connection with a handsome farmer.",0
fun,120,118,Fun is only a snapshot away as Gabby and Pandy set out to take a group photo — and make time for a picture-perfect scavenger hunt!,1
parents,120,116,Madame Gazelle shows Peppa and her school friends how to make a time capsule. They discover that their parents made a time capsule many year,0
she's,120,116,"Granny Pig is really pleased with all the plastic gnomes and the wishing well she's got for the garden, but Grandpa Pig wishes they would al",0
ben,120,116,"Parting is such sweet sorrow for Mr. McMahon when WWE Champion ""Stone Cold"" Steve Austin gives the owner of WWE a fond farewell. Plus, The U",0
rowan,120,109,"Tonight's episode of Raw is being broadcast live from the Baltimore Arena in Baltimore, MD. The scheduled matches for tonight’s card are:

S",0
scene,120,116,"After a sudden behavior change raises concern among his friends, Marcus has a tearful meeting with Ginny. Austin witnesses a terrifying scen",0
leaving,119,117,"Even after leaving Fujisawa for Ogaki, not one person remembered anything about Mai Sakurajima. Sakuta and Mai return to school together, bu",0
meeting,119,116,Peppa and friends visit a Petting Farm where they enjoy feeding chickens and meeting cute and squeaky guinea pigs and they all learn it's im,0
claire,119,90,"The gang goes to a wine bar and runs into Penny’s old boyfriend, Zack. Also, Bernadette gets stuck spending the evening with Sheldon when sh",0
queen,118,105,"Miss Rabbit is to be given the Queen's Award for Industry, and Peppa and her friends are to accompany her to the palace to meet the Queen!",0
side,118,115,"Peppa and her family go to Italy, where Daddy Pig finds driving on the other side of the road difficult.",0
powers,118,116,"Jerry ""The King"" Lawler squares off against Jim Powers. The Beverly Brothers battle The Steiner Brothers in tag team action. Virgil faces Ba",0
hondo,118,109,"A locally born SWAT sergeant, former Marine Daniel “Hondo” Harrelson, is newly tasked to run a specialized tactical unit that is the last st",0
styles,117,111,Madame Gazelle gets Peppa and her playgroup friends to dance to all different styles of music.,0
know,117,114,Madame Gazelle has to go to the dentist so she leaves the class with Mr. Bull. The children already know the subjects Mr. Bull suggests teac,0
ends,116,114,"The final round presents another cruel test — but this time, how it ends depends on just one player. The game's creator steps out of the sha",0
upon,116,113,"Upon inducing a case of ""Puberty Syndrome"" where two copies of herself exists, Rio ends up staying at Sakuta's house for the time being. Mea",0
ever,116,115,Peppa and Suzy Sheep are best friends. But one day they have a quarrel over a game of cards and decide they are not best friends anymore. As,0
erick,116,106,"Tonight's episode of Raw is being broadcast live from the Baltimore Arena in Baltimore, MD. The scheduled matches for tonight’s card are:

S",0
tanjiro,116,58,"It is the Taisho Period (i.e. 1912-1926). Tanjiro Kamado is living a modest but blissful life in the mountains with his family. One day, whe",0
hand,115,112,"No-eul tries to gain the upper hand in negotiations, but her plans backfire. Gi-hun faces a moral crossroads, testing his limits — how far w",0
person,115,109,"Even after leaving Fujisawa for Ogaki, not one person remembered anything about Mai Sakurajima. Sakuta and Mai return to school together, bu",0
second,115,113,"Sakuta had been unable to see Mai, who was not only busy with work but had an order from her agency forbidding her from going on dates. The ",0
history,115,114,One of the most infamous factions in WWE history is formed as Shawn Michaels teams with Hunter Hearst Helmsley against The Undertaker & Mank,0
undisputed,115,113,"Before the tournament to crown the first Undisputed WWE Champion at Vengeance, Ric Flair gives Chris Jericho an opportunity to face ""Stone C",0
stay,114,112,"A tiny suitcase surprise leads to a fancy hotel stay for Gabby and Pandy, featuring ""cat-abulous"" spa treatments and a popping pool party.",0
along,114,113,"CatRat takes Gabby and Pandy on a puzzle hunt through the dollhouse, where they solve riddles, play games and find fun surprises along the w",0
runs,114,113,Cakey runs out of sprinkles on the most sprinkle-riffic day of the year: his birthday! Can Cakey's friends figure out a way to bring his spr,0
sea,114,107,Peppa and George are at the seaside with Granny and Grandpa Pig. Peppa rescues a little fish and puts it back in the sea.,0
boy,114,101,Peppa and George are playing in the garden with their bouncy ball when Suzy Sheep turns up with two tennis rackets. She uses the bouncy ball,0
bradshaw,114,113,"With ""Stone Cold"" Steve Austin losing the WWE Championship to Kurt Angle, The Alliance looks to regroup. Booker T is charged with recapturin",0
marella,114,111,"In the first episode of Raw to air from Italy, Umaga's No Holds Barred Open Challenge for the Intercontinental Championship is accepted by S",0
took,114,112,"The September 8, 2008 Edition of RAW is a Professional wrestling television show of the WWE's RAW brand, which took place on September 8, 20",0
arrive,113,111,"Peppa and her friends and family are looking forward to a trip to the seaside where they can make sandcastles, but when they arrive at the b",0
determine,113,113,A Battle Royal will determine the two contenders for the vacant WWE Intercontinental Championship. Doink clowns around with Bobby Heenan.,0
heart,113,103,The 1-2-3 Kid's new alliance pays dividends. Shawn Michaels gives his all in a match that proves there is more than one way to spell heart.,0
tamina,113,111,"Match #1: Kane vs Alberto Del Rio

 Match #2: Daniel Bryan, Sin Cara & Ezekiel Jackson vs Cody Rhodes, Ted DiBiase & Ezekiel Jackson

 Match",0
bay,113,109,"Tonight's episode of Raw is being broadcast live from the Resch Center in Green Bay, WI. The scheduled matches for tonight’s card are:

Sing",0
girlfriend,113,107,"Without Dr. Sturgis’ university class, Sheldon must find a new way to stay academically challenged. Also, Mary helps Pastor Jeff avoid tempt",2
elimination,112,96,"The players prepare for the next game: a six-legged pentathlon, where each team member must clear a mini-game to survive — or face collectiv",-1
taken,112,108,"Even after leaving Fujisawa for Ogaki, not one person remembered anything about Mai Sakurajima. Sakuta and Mai return to school together, bu",0
clash,112,112,"The showdown unfolds as Vader takes on Bret Hart, and the clash continues with Dude Love facing off against Rockabilly.",0
xavier,112,108,"Tonight's episode of Raw is being broadcast live from the Nutter Center in Dayton, OH. The scheduled matches for tonight’s card are:

Six Ma",0
zayn,112,103,"Tonight's episode of Raw is being broadcast live from the Baltimore Arena in Baltimore, MD. The scheduled matches for tonight’s card are:

S",0
whose,112,110,"Spring has come, the starlings have arrived! But a pigeon settles in the birdhouse near the Bear's house - and Masha, of course, is only hap",0
booba,112,98,Booba finds himself in a kitchen. The fridge enchants him so much that he is ready for everything to conquer it!,0
boyfriend,111,107,"Because of the misunderstanding that she was dating Sakuta, Tomoe is able to resolve the agonizing situation of being asked out by the guy h",2
identity,111,110,"Sakuta has a dream that Mai reveals herself as the true identity of Touko Kirishima at a music festival held on April 1st. At the same time,",0
right,111,108,"When Gabby and Pandy turn tiny from one of MerCat's potions, they'll need to gather the right ingredients to help them grow back to their us",0
full,111,109,"CatRat wants everything to be perfect for his grandma's visit. But when things don't go as planned, the day is full of new and exciting surp",0
land,111,107,"Peppa and her family are on holiday in their special camper van. They decide to go to Duck Land, a park where they can see the ducks in the ",0
brand,111,106,Peppa and George are helping Grandpa Pig to dig a brand new pond for his garden.,0
titus,111,108,"Sheamus &amp; CM Punk vs Daniel Bryan &amp; Kane
Dolph Ziggler vs Jack Swagger
Alberto Del Rio vs Santino Marella
Darren Young &amp; Titus O",0
shaun,111,102,"When a cabbage bounces into the field from a passing truck, Shaun and his pals decide to use it as a football, with little help from the pig",0
attacks,110,105,"A poltergeist-like phenomenon attacks Ikumi. Sakuta is worried the attack was caused by Puberty Syndrome, but Ikumi claims that the only way",-1
major,110,109,"Sakuta has a dream that Mai reveals herself as the true identity of Touko Kirishima at a music festival held on April 1st. At the same time,",0
catch,110,110,Pedro gets a cough at playschool and the other children soon catch it.,0
fire,110,98,Peppa and George go to the fire station to see Miss Rabbit's fire engine.,0
seeks,110,109,"Mr. Perfect battles Ric Flair in a Loser Leaves WWE Match. """"Macho Man"""" Randy Savage seeks revenge when he battles The Repo Man. Kamala, wi",0
suspect,110,106,"Triple H vows to make Mr. McMahon pay for costing him the WWE Championship, but The Game may have to answer for a crime of his own when he b",0
lashley,110,108,Shawn Michaels and WWE Champion John Cena take on The Undertaker and World Heavyweight Champion Batista. As his 'Battle of the Billionaires',0
information,110,107,Dandy gives the Twins troubling information about Chester. Maggie vows to prove her loyalty to Jimmy. The Freaks enforce their harsh code of,0
franky,110,90,"The people who attacked Zoro reveal themselves to be the feared ""Franky Family"", though they're no match for Zoro. Luffy have their gold exc",0
offer,109,107,"Sakuta sees a familiar Miniskirt Santa on a beauty pageant website that his friend Takumi Fukuyama was looking at. However, he notices that ",0
thinks,109,106,"George and Peppa are playing hide and seek, and Peppa thinks that George is bad at the game.",0
upcoming,109,109,"After his match with El Matador, Ric Flair issues a career changing challenge to Mr. Perfect for Raw next week. WWE Champion Bret Hitman Har",0
drug,109,101,"To catch a drug dealer, Jake and Charles must team up with an incompetent Postal Service investigator. Meanwhile, the team helps Amy quit sm",-1
encounter,108,108,Gi-hun and his team take turns keeping guard through the night. The masked men encounter trouble with their co-conspirators.,0
secrets,108,106,"Ahead of the last round, distrust and disgust run deep among the finalists. Jun-ho makes a getaway, determined to expose the game's dirty se",0
front,108,105,"Even as Gi-hun supports Jun-hee amid rising tensions, she must make a pivotal decision. Before the final game, the Front Man gives Gi-hun an",0
figure,108,107,Cakey runs out of sprinkles on the most sprinkle-riffic day of the year: his birthday! Can Cakey's friends figure out a way to bring his spr,0
revenge,108,107,"Mr. Perfect battles Ric Flair in a Loser Leaves WWE Match. """"Macho Man"""" Randy Savage seeks revenge when he battles The Repo Man. Kamala, wi",-2
o'neil,108,105,"Sheamus &amp; CM Punk vs Daniel Bryan &amp; Kane
Dolph Ziggler vs Jack Swagger
Alberto Del Rio vs Santino Marella
Darren Young &amp; Titus O",0
rusev,108,101,"Tonight's episode of Raw is being broadcast live from the Smoothie King Center in New Orleans, LA. The scheduled matches for tonight’s card ",0
paige,108,100,"Tonight's episode of Raw is being broadcast live from the Smoothie King Center in New Orleans, LA. The scheduled matches for tonight’s card ",0
evidence,108,107,"After new revelations surface, Peter and Rose scramble to find more evidence with help from Chelsea and Maddie. A bigger threat looms at Cam",0
begin,107,107,Super Gabby and Super Pandy shrink down to save the day from a mischievous CatRat. Can they solve his playful puzzles? Let the marvelous mis,0
hard,107,104,Daddy Pig finds it hard work when he runs a race to raise money for the school roof. It is far easier to run when a wasp is chasing him.,0
confront,107,105,"After being crowned the 1997 King of the Ring, Hunter Hearst Helmsley looks to begin his ascension to the top of WWE. ""Stone Cold"" Steve Aus",0
rosa,107,103,"The February 2, 2009 Edition of RAW is a Professional wrestling television show of the WWE's RAW brand, which took place on February 2, 2009",0
lily,107,96,"As Conrad battles a group of overly aggressive attending physicians on behalf of a patient with a mysterious chronic ailment, he also must f",0
strange,106,103,"Soon after Mai's ""puberty syndrome"" is resolved, Sakuta encounters another strange phenomenon without respite. Day after day, it is the same",0
super,106,102,Super Gabby and Super Pandy shrink down to save the day from a mischievous CatRat. Can they solve his playful puzzles? Let the marvelous mis,0
fighting,106,102,Today is the fire station practice day. Mummy Pig joins with the other mummies to practise fighting fires.,-1
william,106,104,William Shatner joins Jerry 'The King' Lawler on The King's Court. Razor Ramon defends the Intercontinental Title and much more.,0
killua,106,75,"During the first test, a number of participants fall out from fatigue after running for at least forty kilometers. Leorio almost gives up un",-3
sasuke,106,67,"On the way to becoming a ninja, Naruto must team up with his classmates, the pretty Sakura and the pretty serious Sasuke...",0
desperate,105,105,"Hoping to win easy money, a broke and desperate Gi-hun agrees to take part in an enigmatic game. Not long into the first round, unforeseen h",-2
feelings,105,101,"Puberty syndrome – Abnormal experiences rumored on the internet to be caused by sensitivity and instability during adolescence. This year, S",0
difficult,105,103,"Peppa and her family go to Italy, where Daddy Pig finds driving on the other side of the road difficult.",0
enemy,105,98,A new Commissioner is appointed to teach a lesson in respect to The Hart Foundation. Shawn Michaels embraces a new attitude while earning a,0
sami,105,105,"Tonight's episode of Raw is being broadcast live from the Baltimore Arena in Baltimore, MD. The scheduled matches for tonight’s card are:

S",0
discovery,105,105,"After a night out with Zion, Paul comes home to a startling discovery. Austin receives a surprise visitor at school.",-1
struggle,105,103,George Sr. and Connie struggle to manage the Cooper household while Mary plans Pastor Jeff’s wedding.,0
elaine,105,98,Jerry is robbed after Kramer fails to close the apartment door. Elaine talks Jerry into looking at a fabulous apartment in the hopes that sh,0
carrie,105,89,"At a birthday party for thirty-something Miranda, Carrie and her friends vow to stop worrying about finding the ""perfect"" male and start hav",0
several,104,104,"Puberty syndrome – Abnormal experiences rumored on the internet to be caused by sensitivity and instability during adolescence. This year, S",0
want,104,104,"Sakuta dreams that on Christmas Eve, when he is meant to have a sleepover date with Mai, he instead goes on a date with a student named Sara",0
store,104,98,It’s almost time to get groovy at the music store grand opening! Can Gabby and Pandy earn enough kitty coins to buy an instrument?,0
caught,104,103,Peppa and George get caught in a thunderstorm.,0
showdown,104,104,"The showdown unfolds as Vader takes on Bret Hart, and the clash continues with Dude Love facing off against Rockabilly.",0
kidd,104,100,"Primetime Players, David Otunga &amp; Cody Rhodes vs Kofi Kingston, R-Truth, Christian &amp; Santino Marella
Alberto Del Rio vs Sin Cara
Vic",0
swat,104,86,"A locally born SWAT sergeant, former Marine Daniel “Hondo” Harrelson, is newly tasked to run a specialized tactical unit that is the last st",0
prepare,103,101,"The players prepare for the next game: a six-legged pentathlon, where each team member must clear a mini-game to survive — or face collectiv",0
suddenly,103,103,"With Sakuta's help, Kaede is able to go to school at night. She is now enthusiastic about heading to school during the day. However, on the ",0
christmas,103,91,"Sakuta dreams that on Christmas Eve, when he is meant to have a sleepover date with Mai, he instead goes on a date with a student named Sara",1
told,103,82,"Peppa and George are told to tidy their room, because it is so messy.",0
issues,103,102,"After his match with El Matador, Ric Flair issues a career changing challenge to Mr. Perfect for Raw next week. WWE Champion Bret Hitman Har",0
kid,103,96,"Some ""Kid"" has a surprise for Razor Ramon. Marty Janetty returns to face Shawn Michaels for the WWE Intercontinental Championship.",0
joe,103,96,"Tonight's episode of Raw is being broadcast live from the Joe Louis Arena in Detroit, MI. The scheduled matches for tonight’s card are:

Tag",0
different,102,99,"The Gabby Cats need to make a special art project for Baby Box's Meow-Seum Day. But with many different ways to make art, who knows what the",0
career,102,101,"After his match with El Matador, Ric Flair issues a career changing challenge to Mr. Perfect for Raw next week. WWE Champion Bret Hitman Har",0
partner,102,100,"Shawn Michaels and Ahmed Johnson turn to an unlikely partner against Camp Cornette. Plus, the Ultimate Warrior, The Godwinns, and more.",0
vickie,102,97,SmackDown General Manager Vickie Guerrero comes to Raw to protest CM Punk’s recent capture of the World Heavyweight Championship. John Cena,0
suspects,102,98,"Without the NYPD's help, Gino is forced to get resourceful. A traumatizing event brings dangerous suspects closer than ever.",0
players,101,100,"A few players enter the next round — which promises equal doses of sweet and deadly — with hidden advantages. Meanwhile, Jun-ho sneaks his w",0
accidentally,101,101,Peppa Pig and George decide it is a great day to go and ride bicycles while Daddy Pig is admiring a prize-winning pumpkin he has. However Pe,1
offers,101,101,Doink the Clown faces off against Mr. Perfect in singles action. Razor Ramon discusses a rematch with The Kid and even offers him money to c,0
sandow,101,100,"CM Punk vs Big Show
JTG vs Ryback
R-Truth vs Heath Slater
Sin Cara vs Tensai
Dolph Ziggler vs Chris Jericho vs The Miz
Kaitlyn &amp; Layla v",0
dwight,101,93,A documentary crew arrives at the offices of Dunder Mifflin to observe the employees and learn about modern management. Manager Michael Scot,0
got,100,95,"Sakuta has a dream that Mai reveals herself as the true identity of Touko Kirishima at a music festival held on April 1st. At the same time,",0
using,100,98,"Gabby and Pandy take a travel adventure using a train, plane, cruise ship and hot air balloon — but they can't forget to take pictures for C",0
park,100,94,Peppa and her family visit a new theme park where there is lots of fun to be had with vegetables.,0
dragon,100,90,"Mummy and Daddy Pig take Peppa and George to a castle to feast on medieval banquets, play King and Queen and even meet a dragon. It's George",0
surprising,100,100,"Mummy Sheep learns that she has got a new job, which means moving far away! Peppa and Suzy wonder how they can stay best friends? Peppa give",0
local,100,96,Rob Van Dam challenges WWE Undisputed Champion The Undertaker for the gold. After being put out-of-action on the orders of WWE Co-Owner Ric,0
medical,100,98,"RAW #1467

The New Day battle Bobby Lashley & MVP in tag team action. The Miz hosts a special Money in the Bank edition of ""Miz TV."" Charlot",0
black,100,88,The Coopers discuss the possibilities of black holes and alternate universes when Dr. Sturgis comes over for dinner.,0
alone,99,98,"Because of the misunderstanding that she was dating Sakuta, Tomoe is able to resolve the agonizing situation of being asked out by the guy h",0
every,99,98,"Gabby finds a book with the same doodle on every page; inside the dollhouse, the Gabby Cats use their imagination to add their own spin to t",0
week,99,98,"After his match with El Matador, Ric Flair issues a career changing challenge to Mr. Perfect for Raw next week. WWE Champion Bret Hitman Har",0
hell,99,96,DX looks to cause dissension in The Hart Foundation. The Undertaker insists that he will never fight his brother Kane. Following a lackluste,0
layfield,99,97,"While preparing to go one-on-one with Edge, Batista's attention turns to SmackDown's WWE Champion John ""Bradshaw"" Layfield who's impending a",0
iris,99,91,Alex uses an unconventional treatment to save a dying patient. A Halloween-hating couple tests Iris’s limits.,0
demon,98,67,"Soon after Mai's ""puberty syndrome"" is resolved, Sakuta encounters another strange phenomenon without respite. Day after day, it is the same",0
sees,98,97,A Miniskirt Santa suddenly appears before Sakuta. She says her name is “Touko Kirishima” and claims to have been handing out Puberty Syndrom,0
eve,98,97,"Sakuta dreams that on Christmas Eve, when he is meant to have a sleepover date with Mai, he instead goes on a date with a student named Sara",0
book,98,86,"Gabby finds a book with the same doodle on every page; inside the dollhouse, the Gabby Cats use their imagination to add their own spin to t",0
company,98,94,"Following ""Stone Cold"" Steve Austin's reinstatement, Mr. McMahon is stunned to realize his rivalry with Austin has become a family matter. H",0
lana,98,98,"Tonight's episode of Raw is being broadcast live from the Smoothie King Center in New Orleans, LA. The scheduled matches for tonight’s card ",0
year,97,93,"Puberty syndrome – Abnormal experiences rumored on the internet to be caused by sensitivity and instability during adolescence. This year, S",0
dating,97,93,"Because of the misunderstanding that she was dating Sakuta, Tomoe is able to resolve the agonizing situation of being asked out by the guy h",1
hit,97,97,"Gabby and Pandy say ""howdy"" to a cowboy adventure as they hit trails and rails to protect a pouch of golden nuggets from CatRat.",0
food,97,89,"Goldie the fish does not look happy and is not eating her food, so Peppa, George and Mummy Pig take her on a bus trip to visit Dr Hamster th",0
forest,97,85,"Peppa and her friends are busy building a desert island in a sandpit. They are all very proud of it, with its forest, lake, houses and shops",0
monster,97,95,"After witnessing the recent disturbances caused by Kane, Linda McMahon returns to set things in order with the Co-General Managers of Raw, E",0
zack,97,97,"Daniel Bryan vs. Cody Rhodes
Wade Barrett vs. Santino Marella
The Miz vs. Sheamus
WWE Championship
CM Punk vs. Dolph Ziggler
The Bella Twins",0
killed,97,96,"Michael creates a lockdown by sabotaging the air conditioning in order to execute his breakout plan properly, and unintentionally causes a r",-3
vegeta,97,82,"On planet Arlia, Vegeta and Nappa become prisoners of the tyrant king who rules the planet. After a brief scuffle with the monster Yeddy, th",0
kramer,97,92,Jerry is ecstatic that a woman he met on the road is coming to stay with him in New York. George and Kramer weigh in on how Jerry should bes,0
tensions,96,96,"Jun-ho and his team prepare to infiltrate a suspicious island. As monetary stakes and tensions rise, players split into two opposing faction",-1
cat,96,87,"After agreeing to harbor an abandoned cat, Sakuta finds himself welcoming a look-alike to his old school crush into his home. This does not ",0
stand,96,95,"Upon searching the hashtag #DREAMING, numerous posts were found about attending a middle school reunion on November 27th. Ikumi also dreamt ",0
princess,96,89,"It's bedtime but Peppa is not sleepy, so Daddy Pig tells Peppa and George a story about a pretty princess and a dinosaur!",0
unlikely,96,96,"Shawn Michaels and Ahmed Johnson turn to an unlikely partner against Camp Cornette. Plus, the Ultimate Warrior, The Godwinns, and more.",-2
phoenix,96,93,Mr. McMahon teams with Carlito to take on Triple H in a Steel Cage Match. John Cena is forced to surrender the WWE Championship to Raw Gener,0
chaos,95,94,"Sakuta has a dream that Mai reveals herself as the true identity of Touko Kirishima at a music festival held on April 1st. At the same time,",-2
emily,95,91,"A new child visits the playgroup, and is a bit shy. Her name is Emily Elephant.",0
talk,95,93,"Baby Alexander is too young to talk, until Peppa teaches him his first word.",0
across,95,95,Peppa and her family are driving in a large campervan across America. They stop at a diner and meet another Miss Rabbit.,0
husband,95,89,"""Stone Cold"" Steve Austin reveals his championship aspirations. With most of their enemies gone from WWE, Degeneration-X turn their attentio",0
fashion,95,84,"""Stone Cold"" Steve Austin defends his WWE Championship against a bizarre opponent. WWE cameras go to the front lines as DX takes the war to ",0
-year-old,95,91,9-year-old Sheldon Cooper is a once-in-a-generation mind capable of advanced mathematics and science but learns that isn’t always helpful gr,0
liza,95,79,40-year-old Liza passes herself off as 26 to land a job in the field of her dreams. Now she just has to make sure no one discovers her secre,0
part,94,92,"Hoping to win easy money, a broke and desperate Gi-hun agrees to take part in an enigmatic game. Not long into the first round, unforeseen h",0
problems,94,91,"Gabby uses the power of dress-up to travel to the Wild West, outer space and even underwater to help solve her friends' problems.",-1
brothers,94,92,"After being out for months following a devastating boating accident, Brutus 'The Barber' Beefcake returns to face 'The Million Dollar Man' T",0
qualifying,94,64,Razor Ramon takes on Kwang in a King of the Ring Qualifying Match. Jerry Lawler holds The King's Court with guest Yokozuna.,0
shot,94,90,"Bob 'Spark Plugg' Holly and 1-2-3 Kid get a shot at the WWE Tag Team Championships. Plus, Doink the Clown, Henry Godwinn, and more.",0
steel,94,93,"Bret Hart battles Dr. Isaac Yankem in a Steel Cage in the main event. Plus Hunter Hearst Helmsley, The Smoking Gunns, and much more.",0
face-to-face,94,94,"Shawn Michaels and Bret Hart come face-to-face in a highly volatile interview. Plus, Stone Cold Steve Austin, Goldust, and more in action!",0
marine,94,86,Jack's war memories haunt him when he reunites with his Marine friends. Mel struggles to handle conflict with her sister-in-law.,0
journey,93,91,Gabby and Pandy receive special sashes and start their journey as kitty rangers! Can they use their new skills to solve a missing mama myste,0
feels,93,91,"Suzy Sheep has come to play with Peppa, and has made up a pretend friend called 'Leo Lion'. Peppa cannot see Leo but Suzy announces that Leo",0
curtis,93,88,"Wade Barrett &amp; Fandango vs The Miz &amp; Chris Jericho
Sheamus vs Titus O’Neil
Alberto Del Rio vs Big E. Langston
AJ Lee vs Layla
Zack R",0
strowman,93,84,"Tonight's episode of Raw is being broadcast live from the Amalie Arena in Tampa, FL. The scheduled matches for tonight’s card are:

Singles ",0
agent,93,91,"While working the night action desk, FBI agent Peter receives a distress call and is soon put in charge of protecting cybersecurity expert R",0
charles,93,92,Kai receives visits from Charles Manson as he begins to question everyone around him.,0
conrad,93,88,"On his first day as an intern, an idealistic Dr. Devon Pravesh faces the harsh realities of medical care, as third year resident Dr. Conrad ",0
tell,92,91,"George finds a spider in the bathroom sink, and when Peppa sees it, she screams and runs downstairs to tell Mummy Pig and Daddy Pig.",0
dog,92,86,"Peppa and George go for a ride in Grandpa Pig's boat, but Grandpa Pig and Grandpa Dog get into a fight.",0
events,92,91,It is Sports Day at Peppa's playgroup and lots of special events are due to take place.,0
closer,92,90,"As SummerSlam gets closer, the Undertaker looks to make Tatanka rest in peace. Plus Diesel, The British Bulldog, and many more in action.",0
calls,92,91,"The Undertaker battles Stone Cold Steve Austin in the main event. Jim Cornette calls out Jose Lothario. Plus, Mankind, Vader, and many more.",0
fate,92,91,"The WWE Board of Directors convene for a special meeting to decide ""Stone Cold"" Steve Austin's fate. Shawn Michaels receives another chance ",0
questions,92,92,Shawn Michaels and Hulk Hogan meet to discuss and answer questions about their upcoming battle. In attempt to punish someone for John Cena r,0
cabin,92,82,A wintry weekend at Min Ho's ski cabin turns into a WiFi-less nightmare when Kitty and the gang get snowed in — and shocking revelations com,0
samantha,92,87,"Daniel tries to strike a shady deal to undermine Johnny’s dojo. Meanwhile, Johnny expands his enrollment ranks in the dojo. Miguel puts his ",0
jonah,92,90,Jonah begins his first day on the job at big-box store Cloud 9 and immediately starts a rocky relationship with floor supervisor Amy when he,0
train,91,77,"Gabby and Pandy take a travel adventure using a train, plane, cruise ship and hot air balloon — but they can't forget to take pictures for C",0
chloe,91,79,"Peppa's older cousin Chloe comes to visit, and Peppa must play games by somebody else's rules for a change.",0
including,91,90,Today is George's birthday and Mummy and Daddy Pig have a special day planned. George gets a new Brontosaurus toy and the family go to the m,0
stephanie,91,90,"The Rock hosts a funeral for the career of WWE Champion ""Stone Cold"" Steve Austin. With Stephanie by his side, Mr. McMahon sits down with Mi",0
heyman,91,89,"With Mr. McMahon disrupting WWE Co-Owner Ric Flair's plans to name an opponent for the WWE Undisputed Championship at Backlash, ""The Nature ",0
benjamin,91,90,"Triple H receives a challenge from one of Raw's newest additions, Shelton Benjamin. In an effort to discover the reasons behind her controve",0
rae,91,88,"Tonight's episode of Raw is being broadcast live from the Nutter Center in Dayton, OH. The scheduled matches for tonight’s card are:

Six Ma",0
kaido,91,76,More mysteries of the Kozuki Clan are revealed - and the samurai propose an alliance to help topple Kaido! But Luffy's response will shock t,0
pam,91,82,A documentary crew arrives at the offices of Dunder Mifflin to observe the employees and learn about modern management. Manager Michael Scot,0
miranda,91,87,"At a birthday party for thirty-something Miranda, Carrie and her friends vow to stop worrying about finding the ""perfect"" male and start hav",0
outside,90,87,"Split on whether to continue or quit, the group holds a vote. But their realities in the outside world may prove to be just as unforgiving a",0
hopes,90,88,"Upon inducing a case of ""Puberty Syndrome"" where two copies of herself exists, Rio ends up staying at Sakuta's house for the time being. Mea",2
living,90,87,"Sakuta had been unable to see Mai, who was not only busy with work but had an order from her agency forbidding her from going on dates. The ",0
solve,90,90,Super Gabby and Super Pandy shrink down to save the day from a mischievous CatRat. Can they solve his playful puzzles? Let the marvelous mis,0
refuses,90,90,"Peppa's best friend, Suzy Sheep, comes to play. George wants to play too, but Peppa refuses to let him do so, making him sad.",-1
fall,90,86,It is night time and the sky is fall of shining stars. Mummy and Daddy Pig let Peppa and George put their coats on over their pyjamas and go,0
ally,90,88,"The Undertaker reveals an ally that spells trouble for WWE Champion ""Stone Cold"" Steve Austin. The rivalry between DX and The Nation reaches",1
antonio,90,88,"Dolph Ziggler vs Randy Orton
Rey Mysterio &amp; Sin Cara vs Tensai &amp; Cody Rhodes
Sheamus vs Jack Swagger
Eve Torres vs Kaitlyn
Jinder Ma",0
buu,90,59,The Z-Fighters race to stop Babidi’s cronies from delivering the pure energy that will be used resurrect the dreaded Majin Buu. Will they fi,0
steps,89,89,"The final round presents another cruel test — but this time, how it ends depends on just one player. The game's creator steps out of the sha",0
hold,89,88,"Gi-hun finally gets hold of an invitation, marked for Halloween day. In a tense moment facing Jun-ho, they reveal their truths to each other",0
